Order,Group,Name,Url
1,YouTube新聞台,三立iNEWS,https://www.youtube.com/watch?v=pF507BLtbqU
2,YouTube新聞台,寰宇新聞台,https://www.youtube.com/watch?v=Ej3LQM_lTEw
3,YouTube新聞台,東森財經新聞,https://www.youtube.com/watch?v=1I2iq41Akmo
4,YouTube新聞台,運通財經台,https://www.youtube.com/watch?v=dlTbFSt2spc
5,YouTube新聞台,中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM
6,YouTube新聞台,民視新聞,https://www.youtube.com/watch?v=ylYJSBUgaMA
7,YouTube新聞台,台視新聞台,https://www.youtube.com/watch?v=sNtCBxP-8LY
8,YouTube新聞台,三立新聞台,https://www.youtube.com/watch?v=QsGswQvRmtU
9,YouTube新聞台,TVBS NEWS 24小時直播,https://www.youtube.com/watch?v=m_dhMSvUCIc
10,YouTube新聞台,中天電視,https://www.youtube.com/watch?v=vr3XyVCR4T0
11,YouTube新聞台,鳳凰衛視資訊台,https://www.youtube.com/watch?v=fN9uYWCjQaw
12,YouTube新聞台,新唐人LIVE,https://www.youtube.com/watch?v=Bhp_V7H5QoY
13,YouTube新聞台,鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o
14,YouTube新聞台,TVBS NEWS,https://www.youtube.com/watch?v=jMGAopbbmEE
15,YouTube新聞台,TVBS選新聞,https://www.youtube.com/watch?v=72d-gkakiek
16,YouTube新聞台,寰宇新聞財經台,https://www.youtube.com/watch?v=yAUQQ0DhPxI
17,YouTube新聞台,倪珍24小時播新聞,https://www.youtube.com/watch?v=RRybv1kEnCU
18,YouTube新聞台,公視新聞網,https://www.youtube.com/watch?v=quwqlazU-c8
19,YouTube新聞台,華視新聞,https://www.youtube.com/watch?v=wM0g8EoUZ_E
20,YouTube新聞台,華視公眾安全資訊觀測站,https://www.youtube.com/watch?v=meHTKm4XBS8
21,YouTube新聞台,東森新聞 51 頻道 24 小時直播,https://www.youtube.com/watch?v=V1p33hqPrUk
22,YouTube新聞台,寰宇新聞台灣台,https://www.youtube.com/watch?v=Ej3LQM_lTEw
23,YouTube新聞台,公視 網路直播頻道,https://www.youtube.com/watch?v=C6gYqSHLRw4
24,YouTube新聞台,CNA LIVE,https://www.youtube.com/watch?v=XWq5kBlakcQ
25,YouTube新聞台,華視戲劇頻道,https://www.youtube.com/watch?v=6ZowCmLBcMY
26,YouTube購物台,momo購物一台,https://www.youtube.com/watch?v=_pZQ1Lk0xMA
27,YouTube購物台,momo購物二台,https://www.youtube.com/watch?v=xbNWkUyxQGM
28,YouTube購物台,東森購物台CH60,https://www.youtube.com/watch?v=2IGZjBPTPT8
29,YouTube購物台,東森購物台CH46,https://www.youtube.com/watch?v=tUvQg2HgIbs
30,YouTube購物台,東森購物台CH47,https://www.youtube.com/watch?v=vZHktiRowRg
31,YouTube購物台,東森購物台CH34,https://www.youtube.com/watch?v=J3t9N0vciPI
32,YouTube購物台,美好購物1台,https://www.youtube.com/watch?v=8TBJDKRcg6c
33,YouTube購物台,美好購物2台,https://www.youtube.com/watch?v=MHoyggBaFW4
34,YouTube綜合娛樂,信大電視台,https://www.youtube.com/watch?v=3MakY86sYn8
35,YouTube綜合娛樂,中天亞洲台,https://www.youtube.com/watch?v=fdHutVy5SUM
36,YouTube綜合娛樂,華視綜藝頻道,https://www.youtube.com/watch?v=0ePhPlTJbGo
37,YouTube綜合娛樂,中視經典綜藝,https://www.youtube.com/watch?v=ADDSmXoPDY8
38,YouTube綜合娛樂,中天2台,https://www.youtube.com/watch?v=6LNCDdQpv-w
39,YouTube綜合娛樂,大陸尋奇,https://www.youtube.com/watch?v=Kc5OXLZ9NEw
40,YouTube綜合娛樂,豬哥會社,https://www.youtube.com/watch?v=v8MUGB4vst8
41,YouTube綜合娛樂,GTV DRAMA 八大劇樂部,https://www.youtube.com/watch?v=6UQA6Qp0Bks
42,YouTube綜合娛樂,民視戲劇館,https://www.youtube.com/watch?v=NyrdWXddfR4
43,YouTube綜合娛樂,Entertainment - Mediacorp,https://www.youtube.com/watch?v=ipqTkEH3mhE
44,YouTube綜合娛樂,東森綜合2台頻道 24 小時直播,https://www.youtube.com/watch?v=cimbpAZUjzw
45,YouTube綜合娛樂,8world,https://www.youtube.com/watch?v=RvSOIM620bA
46,YouTube國際新聞,DW News,https://www.youtube.com/watch?v=LuKwFajn37U
47,YouTube國際新聞,Al Jazeera Arabic,https://www.youtube.com/watch?v=N8xxOD0nT1Y
48,YouTube國際新聞,ABC News,https://www.youtube.com/watch?v=IkKbZ_TC9Tc
49,YouTube國際新聞,LIVE NOW,https://www.youtube.com/watch?v=vNVp6bxkL1c
50,YouTube國際新聞,Haberturk TV,https://www.youtube.com/watch?v=s4KIyYkwiM0
51,YouTube國際新聞,GB News,https://www.youtube.com/watch?v=grQjlyyQsn4
52,YouTube國際新聞,Sky News,https://www.youtube.com/watch?v=paEJskVBz_M
53,YouTube國際新聞,Euronews English,https://www.youtube.com/watch?v=pykpO5kQJ98
54,YouTube國際新聞,FRANCE 24 English,https://www.youtube.com/watch?v=HvZt-nh9sGg
55,YouTube國際新聞,NBC News,https://www.youtube.com/watch?v=fDYFTkFJtdM
56,YouTube國際新聞,Al Jazeera English,https://www.youtube.com/watch?v=gCNeDWCI0vo
57,YouTube國際新聞,CRUX,https://www.youtube.com/watch?v=LLWrwAKROfY
58,YouTube國際新聞,LiveNOW from FOX,https://www.youtube.com/watch?v=9fTzGUvzjQw
59,YouTube國際新聞,TV5 News,https://www.youtube.com/watch?v=EMNH8Gg8BzM
60,YouTube國際新聞,TaiwanPlus,https://www.youtube.com/watch?v=Vrs-AeKZIEg
61,YouTube亞洲新聞,Malaimurasu Tv 24X7,https://www.youtube.com/watch?v=vpZ5af6irzA
62,YouTube亞洲新聞,Asianet News,https://www.youtube.com/watch?v=s0LLVQeMmtU
63,YouTube亞洲新聞,JapaNews24,https://www.youtube.com/watch?v=D1uFPfCvtRI
64,YouTube亞洲新聞,Astro AWANI,https://www.youtube.com/watch?v=mkVyNaGee8A
65,YouTube亞洲新聞,India Today,https://www.youtube.com/watch?v=Y9lhb97xlhY
66,YouTube亞洲新聞,News18 India,https://www.youtube.com/watch?v=o6OP0iB5zvE
67,YouTube亞洲新聞,MediaoneTV Live,https://www.youtube.com/watch?v=-8d8-c0yvyU
68,YouTube亞洲新聞,TBS NEWS,https://www.youtube.com/watch?v=d8Rm7OKE9mA
69,YouTube亞洲新聞,NewsTamil24x7,https://www.youtube.com/watch?v=hGs-nKaNc88
70,YouTube亞洲新聞,Malayalam News,https://www.youtube.com/watch?v=1wECsnGZcfc
71,YouTube亞洲新聞,Arirang TV,https://www.youtube.com/watch?v=CJVBX7KI5nU
72,YouTube亞洲新聞,HTB北海道ニュース,https://www.youtube.com/watch?v=tvgbZZYS4Nk
73,YouTube亞洲新聞,KBS News,https://www.youtube.com/watch?v=p5W8X3vziJ8
74,YouTube亞洲新聞,ABCテレビニュース,https://www.youtube.com/watch?v=XGSEjlkjK8o
75,YouTube亞洲新聞,TIMES NOW,https://www.youtube.com/watch?v=6lrvdOedqgk
76,YouTube兒童動畫,123 GO! Live,https://www.youtube.com/watch?v=8FHerid3vag
77,YouTube兒童動畫,Muse木棉花-闔家歡,https://www.youtube.com/watch?v=Lh6xiMlkRrg
78,YouTube兒童動畫,YOYO TV,https://www.youtube.com/watch?v=KbG88GiZmBI
79,YouTube兒童動畫,小猪佩奇,https://www.youtube.com/watch?v=MxK0SaEVQFs
80,YouTube兒童動畫,Talking Tom,https://www.youtube.com/watch?v=2wqCOO4gAUs
81,YouTube兒童動畫,TalkingFriendsTVMini,https://www.youtube.com/watch?v=FxmuSm_wgng
82,YouTube兒童動畫,Dave and Ava,https://www.youtube.com/watch?v=NU-7Xmj514E
83,YouTube兒童動畫,Tayo the Little Bus,https://www.youtube.com/watch?v=wgFPP9dRO-w
84,YouTube兒童動畫,Disney Junio,https://www.youtube.com/watch?v=k7iNXiw1zL4
85,YouTube文化紀實,Tokyo Walk,https://www.youtube.com/watch?v=pcPhqxOUv8A
86,YouTube文化紀實,大愛一臺HD,https://www.youtube.com/watch?v=pM-1ytfQhos
87,YouTube文化紀實,MIT台灣誌,https://www.youtube.com/watch?v=DxvKbRgUXc8
88,YouTube文化紀實,大愛二臺HD,https://www.youtube.com/watch?v=QDxRJP-wfeI
89,YouTube文化紀實,國會頻道１,https://www.youtube.com/watch?v=UQnVkK1kcDI
90,YouTube文化紀實,立法院會議,https://www.youtube.com/watch?v=UQnVkK1kcDI
91,YouTube文化紀實,佛光山人間衛視,https://www.youtube.com/watch?v=kyjN8rvSnio
92,YouTube音樂體育風景,THE K-POP,https://www.youtube.com/watch?v=JVocS7Yftw8
93,YouTube音樂體育風景,Lofi Girl,https://www.youtube.com/watch?v=qGohtGC5Rtk
94,YouTube音樂體育風景,earthTV,https://www.youtube.com/watch?v=r1K7DyQn3jg
95,YouTube音樂體育風景,Best of MLB,https://www.youtube.com/watch?v=wKiClrFLjZs
96,YouTube韓綜娛樂,SBS Running Man,https://www.youtube.com/watch?v=lDcWeklf6DI
97,YouTube台灣節目,飢餓遊戲,https://www.youtube.com/watch?v=6TsaEYaKueE
98,YouTube互動娛樂,InquizeX,https://www.youtube.com/watch?v=Sa0UpjTdJT4
